[Epoch 1]	Learning rate: 1.00e-5
[1600/16000]	[L1: 3.1048]	42.5+0.5s
[2400/16000]	[L1: 3.1074]	42.5+0.5s
[3200/16000]	[L1: 3.1012]	42.4+0.5s
[4000/16000]	[L1: 3.0941]	42.1+0.5s
[4800/16000]	[L1: 3.1014]	42.3+0.5s
[5600/16000]	[L1: 3.1035]	42.3+0.5s
[6400/16000]	[L1: 3.1030]	42.5+0.5s
[7200/16000]	[L1: 3.1021]	42.4+0.5s
[8000/16000]	[L1: 3.1021]	42.0+0.5s
[8800/16000]	[L1: 3.0992]	42.5+0.5s
[9600/16000]	[L1: 3.0999]	42.3+0.5s
[10400/16000]	[L1: 3.0979]	42.3+0.5s
[11200/16000]	[L1: 3.0986]	42.0+0.5s
[12000/16000]	[L1: 3.0996]	42.3+0.5s
[12800/16000]	[L1: 3.1025]	41.8+0.5s

Evaluation:
[XRAY x2]	PSNR: 0.000 (Best: 0.000 @epoch 1)
